地区,性别,特别关注
周口,1,0
周口,1,0
温州,2,0
郑州,1,0
nocity,0,0
nocity,0,0
周口,1,0
杭州,1,0
郑州,1,0
nocity,2,0
大连,1,0
郑州,1,0
周口,2,0
周口,1,0
西宁,1,0
nocity,1,0
周口,1,0
温州,2,0
nocity,2,0
郑州,2,0
海口,2,0
绍兴,1,0
nocity,2,0
nocity,0,0
nocity,1,0
nocity,2,0
焦作,1,0
nocity,2,0
深圳,1,0
nocity,1,0
盐城,1,0
广州,2,0
nocity,2,0
nocity,2,0
开封,2,0
nocity,2,0
郑州,2,0
郑州,2,0
深圳,1,1
洛阳,2,0
郑州,1,0
郑州,2,0
深圳,2,0
郑州,1,0
平顶山,2,0
湖州,2,0
nocity,2,0
广州,1,0
郑州,2,0
nocity,2,0
商丘,1,0
广州,2,0
济南,2,0
郑州,2,0
东城,2,1
nocity,1,0
郑州,1,0
福州,1,0
衡阳,1,0
郑州,2,0
长宁,2,0
鄂尔多斯,1,0
nocity,2,0
nocity,2,0
nocity,0,0
nocity,0,0
nocity,2,0
nocity,2,0
深圳,2,0
郑州,2,0
海口,2,0
nocity,1,0
郑州,1,0
郑州,1,0
嘉兴,1,0
深圳,1,1
静安,1,0
信阳,1,0
郑州,2,0
Swansea,2,0
周口,1,0
海口,2,0
石家庄,2,0
nocity,2,0
nocity,1,0
nocity,1,0
信阳,1,0
郑州,1,0
郑州,1,0
普陀,1,0
郑州,1,0
济南,1,0
nocity,2,0
郑州,2,0
郑州,2,0
郑州,2,0
郑州,2,0
郑州,1,0
nocity,2,0
Sydney,2,0
nocity,0,0
南京,2,0
nocity,2,0
nocity,2,0
长沙,2,0
nocity,2,0
nocity,1,0
nocity,2,0
Palmerston,2,0
郑州,1,0
郑州,1,0
盘锦,2,0
郑州,2,0
郑州,2,0
郑州,1,0
nocity,1,0
nocity,0,0
阿勒泰,1,0
nocity,0,0
Melbourne,1,0
郑州,1,0
开封,2,0
nocity,0,0
郑州,1,0
漯河,2,1
nocity,1,0
nocity,2,0
武汉,1,0
娄底,2,0
天水,2,0
郑州,1,0
周口,1,0
平顶山,1,0
郑州,1,0
合肥,2,0
青岛,2,0
nocity,2,0
保山,2,0
nocity,2,0
nocity,1,0
广州,2,0
周口,1,0
郑州,1,0
nocity,2,0
nocity,2,0
郑州,2,0
南京,2,0
郑州,1,0
nocity,1,0
郑州,1,0
nocity,2,0
太原,2,0
苏州,2,0
nocity,0,0
大连,1,0
郑州,1,0
深圳,1,0
郑州,2,0
nocity,2,0
nocity,2,0
nocity,2,0
郑州,1,0
郑州,1,0
宿州,2,0
深圳,1,0
nocity,2,0
郑州,1,0
郑州,2,0
nocity,0,0
周口,1,0
nocity,0,0
nocity,0,0
芜湖,2,0
中山,1,0
Los Angeles,1,0
玉溪,2,0
nocity,1,0
洛阳,1,0
运城,1,0
nocity,2,0
三亚,1,0
nocity,2,0
郑州,2,0
nocity,2,1
包头,2,0
东城,1,0
nocity,2,0
nocity,2,0
朝阳,1,0
深圳,2,0
nocity,1,0
郑州,2,0
nocity,1,0
信阳,2,0
nocity,0,0
郑州,1,0
南昌,2,0
杭州,1,0
nocity,2,0
徐州,2,0
郑州,2,0
郑州,1,0
东城,2,0
嘉兴,2,0
五家渠,1,0
郑州,2,0
郑州,2,0
三门峡,1,0
郑州,1,0
浦东新区,2,0
郑州,1,0
周口,1,0
nocity,2,0
宁波,2,0
nocity,2,0
东莞,1,0
nocity,2,0
厦门,2,0
nocity,2,0
徐州,2,0
杭州,1,0
nocity,2,0
璧山,2,0
潮州,2,0
宿迁,1,0
杭州,2,0
Geelong,2,0
武汉,2,0
nocity,2,0
朝阳,2,0
nocity,1,0
nocity,2,0
周口,2,0
信阳,1,0
郑州,2,0
nocity,1,0
nocity,2,0
郑州,2,0
nocity,2,0
nocity,2,0
郑州,1,0
苏州,2,0
聊城,2,0
广州,2,0
nocity,2,0
大连,1,0
郑州,1,0
nocity,1,0
郑州,2,0
郑州,2,0
揭阳,1,0
nocity,2,0
西安,1,0
周口,1,0
商丘,1,0
大连,2,0
nocity,1,0
nocity,2,0
nocity,1,0
郑州,2,0
nocity,1,0
Vancouver,2,0
周口,2,0
nocity,1,0
nocity,2,0
